"country_name","time","emlaw","emname","emstart","emend","emlimit","emlimitdate","emlawapp","emlegapp","leglimit","subvar","discrim","ndrights","melim","melimstart","melimend","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govmis","pomviol","milinv","misclimit","v2x_libdem","v2mecenefm_ord","pandem","pandem_alt","panback","pandem_dis","pandem_dis_alt","type1","type2","type3","type4","type4_alt","type5","type6"
"Laos","2020-06-23",4,"The Prime Minister's Order on reinforcement measures on cantainment, prevention and full response to the COVID-19 pandemic","2020-03-30",NA,1,"2020-04-19",0,"0",0,NA,0,0,3,"2020-03-30",NA,1,1,1,2,0,0,0,0,NA,NA,0.095,0,0.176470588235294,0.176470588235294,0.0606882352941177,0.15,0.15,0,0,0,3,3,0,0
"Lebanon","2020-06-20",1,"Article 2 of 1983 National Defense Law","2020-03-16",NA,1,"2020-06-28",0,"0",2,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,2,NA,NA,0.29,2,0.117647058823529,0.0588235294117647,0.0484470588235294,0.1,0.05,0,0,0,1,0,0,1
"Lesotho","2020-06-22",1,"Constitution (1993), section 23 (1);
Emergency Powers Act of 1988;
Disaster Management Act 2 of 1997","2020-03-18","2020-05-05",1,"2020-05-05",1,"0",3,0,0,0,1,"2020-03-18","2020-05-05",0,0,0,0,0,0,0,0,1,NA,0.465,3,0.176470588235294,0.176470588235294,0.175605882352941,0.15,0.15,0,0,0,1,1,2,0
"Liberia","2020-06-17",1,NA,NA,NA,1,NA,NA,NA,2,NA,0,0,1,NA,NA,0,1,0,2,1,1,0,1,NA,NA,0.426,3,0.176470588235294,0.176470588235294,0.172605176470588,0.15,0.15,0,0,0,3,3,0,0
"Libya","2020-06-21",5,NA,"2020-03-14",NA,NA,NA,0,"0",0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.156,3,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania","2020-06-17",1,"Law on Civil Protection (point 11 of Article 9 and point 2 of Paragraph 1 of Article 26), Resolution no. 1243 “On Approval of the Description of the Procedure for Announcement and Revocation of Emergencies""","2020-02-26",NA,1,"2020-08-26",0,"0",2,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,0.732,3,0,0,0,0,0,0,0,0,0,0,0,0
"Madagascar","2020-06-16",2,"Constitution, article 61; 
Law n ° 91-011 of July 18, 1991 relating to emergency situations;
Law n ° 2011-002 of July 15, 2011 on the Public Health Code;","2020-03-21",NA,1,"2020-04-05",0,"0",2,1,0,0,3,"2020-03-21",NA,1,1,1,2,0,1,2,1,1,NA,0.313,3,0.176470588235294,0.176470588235294,0.151786588235294,0.25,0.25,0,0,0,3,3,0,0
"Malawi","2020-06-17",3,"(State of Disaster): Disaster Preparedness and Relief Act","2020-03-20","2020-04-20",1,NA,0,"0",3,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.424,3,0.117647058823529,0.117647058823529,0.114928941176471,0.1,0.1,0,0,0,0,0,2,0
"Malaysia","2020-06-24",4,"Movement Control Order","2020-03-18",NA,1,"2020-03-31",0,"0",3,NA,0,0,0,NA,NA,1,1,0,0,1,1,1,0,NA,NA,0.328,3,0.294117647058824,0.294117647058824,0.259312941176471,0.3,0.3,0,0,0,3,3,2,0
"Mali","2020-06-15",1,"Constitution, articles 49, 50, 72, 74, and law 2017 055 of November 6, 2017 on the state of emergency and state of siege.","2020-03-25",NA,0,NA,1,"0",2,NA,0,0,0,NA,NA,0,1,0,0,0,0,0,0,NA,NA,0.309,2,0.294117647058824,0.294117647058824,0.251198823529412,0.25,0.25,2,0,0,3,3,0,0
