"country_name","panback","v2x_libdem","pandem_alt"
"Somalia",0.129312,0.102,0.352941176470588
"South Africa",0.2875,0.575,0.294117647058824
"South Korea",0,0.78,0
"South Sudan",0,0.064,0
"Spain",0.0354764705882353,0.815,0.0588235294117647
"Sri Lanka",0.468779294117647,0.469,0.470588235294118
"Sudan",0.0560689411764706,0.087,0.176470588235294
"Sweden",0,0.829,0
"Switzerland",0,0.827,0
"Syria",0.0387303529411765,0.043,0.235294117647059
"Taiwan",0.049692,0.697,0.0588235294117647
"Tajikistan",0.0410512941176471,0.062,0.176470588235294
"Tanzania",0.158848941176471,0.342,0.176470588235294
"Thailand",0.151642352941176,0.152,0.294117647058824
"The Gambia",0,0.459,0
"Togo",0.0345785882352941,0.179,0.0588235294117647
"Tunisia",0.212682352941176,0.655,0.235294117647059
"Turkey",0.106822352941176,0.101,0.294117647058824
"Turkmenistan",0,0.053,0
"Uganda",0.325112470588235,0.222,0.470588235294118
"Ukraine",0.145931294117647,0.292,0.176470588235294
"United Arab Emirates",0.0194632941176471,0.091,0.0588235294117647
"United Kingdom",0.039035294117647,0.79,0.0588235294117647
"United States of America",0.197647058823529,0.7,0.235294117647059
"Uruguay",0.0807529411764706,0.78,0.117647058823529
"Uzbekistan",0.0566512941176471,0.088,0.176470588235294
"Venezuela",0.0924752941176471,0.086,0.294117647058824
"Vietnam",0,0.122,0
"Yemen",0.00946729411764706,0.042,0.0588235294117647
"Zambia",0.234028235294118,0.274,0.294117647058824
"Zimbabwe",0.169852941176471,0.175,0.294117647058824
