"country_name","Quarter","Type1","Type2","Type3","Type4","Type5","Type6","Type7","v2x_libdem","v2x_regime","pandem","panback","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","milinv","leglimit","melim","emlimit"
"Bulgaria","Q2",3,0,0,0,0,0,1,0.488,2,0.2,0.1998848,3,0,0,0,0,1,0,0,0,0,0,2,0,1
"Bulgaria","Q3",2,0,0,0,0,0,0,0.488,2,0.1,0.0999424,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bulgaria","Q4",0,0,0,0,0,0,0,0.488,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bulgaria","Summary",3,0,0,0,0,0,1,0.488,2,0.2,0.0999424,3,0,0,0,0,1,0,0,0,0,0,2,0,1
"Burkina Faso","Q2",0,0,1,1,0,0,0,0.273,1,0.1,0.0793884,0,0,0,0,0,0,0,0,0,1,1,2,0,0
"Burkina Faso","Q3",0,0,0,0,0,0,0,0.273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Burkina Faso","Q4",0,0,0,0,0,0,0,0.273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Burkina Faso","Summary",0,0,1,1,0,0,0,0.273,1,0.1,0.0264628,0,0,0,0,0,0,0,0,0,1,1,2,0,0
"Burma/Myanmar","Q2",1,0,1,0,0,0,3,0.246,1,0.25,0.185484,1,0,1,1,1,2,0,1,0,1,1,0,0,NA
"Burma/Myanmar","Q3",1,0,1,0,0,0,3,0.246,1,0.25,0.185484,1,0,1,1,1,2,0,0,0,1,1,0,0,NA
"Burma/Myanmar","Q4",1,0,1,0,0,0,3,0.246,1,0.25,0.185484,1,0,1,1,1,2,0,0,0,1,1,0,0,NA
"Burma/Myanmar","Summary",1,0,1,0,0,0,3,0.246,1,0.25,0.185484,1,0,1,1,1,2,0,1,0,1,1,0,0,NA
"Burundi","Q2",0,0,0,0,0,2,3,0.059,1,0.25,0.055519,0,0,1,1,0,2,0,0,2,0,0,0,0,NA
"Burundi","Q3",0,0,0,0,0,0,3,0.059,1,0.15,0.0333114,0,0,1,1,0,2,0,0,0,0,0,0,0,NA
"Burundi","Q4",0,0,0,0,0,0,3,0.059,1,0.15,0.0333114,0,0,1,1,0,2,0,0,0,0,0,0,0,NA
"Burundi","Summary",0,0,0,0,0,2,3,0.059,1,0.25,0.0407139333333333,0,0,1,1,0,2,0,0,2,0,0,0,0,NA
"Cambodia","Q2",0,0,0,0,0,0,3,0.088,1,0.15,0.0481536,0,0,1,1,0,1,0,0,0,0,0,0,0,NA
"Cambodia","Q3",0,0,0,0,0,0,3,0.088,1,0.15,0.0481536,0,0,1,1,0,1,0,0,0,0,0,0,0,NA
"Cambodia","Q4",0,0,0,0,0,0,3,0.088,1,0.15,0.0481536,0,0,1,1,0,1,0,0,0,0,0,0,0,NA
"Cambodia","Summary",0,0,0,0,0,0,3,0.088,1,0.15,0.0481536,0,0,1,1,0,1,0,0,0,0,0,0,0,NA
"Cameroon","Q2",0,0,2,0,0,1,3,0.145,1,0.3,0.14877,0,0,1,1,0,2,0,0,1,2,0,1,0,NA
"Cameroon","Q3",0,0,2,0,0,2,3,0.145,1,0.35,0.173565,0,0,1,1,0,2,0,0,2,2,0,1,0,NA
