"country_name","timeperiod","v2x_libdem","pandem","panback","Type1","Type2","Type3","Type4","Type5","Type6","Type7","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","emlimit","emlaw","emstart","emend","emlimitdate","emlawapp","emlegapp","leglimit","legdisdate","legresdate","melim","melimstart","melimend","subvar","milinv","time","emname","misclimit"
"Bosnia and Herzegovina","Mar-Sep",0.345,0.2,0.1129875,0,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,1,3,"2020-03-17","2020-05-31",NA,1,1,0,NA,NA,0,NA,NA,3,0,"2020-09-02","Okvirni zakon o zaštiti i spašavanju ljudi i materijalnih dobara od prirodnih ili drugih nesreća u BiH",NA
"Bosnia and Herzegovina","Mar-Jun",0.345,0.2,0.18078,0,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Bosnia and Herzegovina","Jul-Sep",0.345,0.05,0.045195,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Botswana","Mar-Sep",0.55,0.05,0.0495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"2020-04-02",NA,"2020-10-09",1,1,1,NA,NA,1,"2020-04-02","2020-10-09",1,1,"2020-08-31","Constitution of Botswana (Section 17)",NA
"Botswana","Mar-Jun",0.55,0.05,0.0495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"Botswana","Jul-Sep",0.55,0.05,0.0495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"Brazil","Mar-Sep",0.508,0.3,0.2999232,0,0,0,2,0,2,2,0,0,0,0,0,2,1,0,2,0,0,2,"2020-02-03",NA,NA,0,0,2,NA,NA,0,NA,NA,3,0,"2020-09-07","Decree nº 7616 from November 17, 2011","The local elections were scheduled for October, but were postponed to November 15"
"Brazil","Mar-Jun",0.508,0.3,0.2999232,0,0,0,2,0,2,2,0,0,0,0,0,2,1,0,2,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Brazil","Jul-Sep",0.508,0.3,0.2999232,0,0,0,2,0,2,2,0,0,0,0,0,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Bulgaria","Mar-Sep",0.488,0.2,0.1499136,3,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,1,"2020-03-13","2020-05-13","2020-05-13",1,1,2,NA,NA,0,NA,NA,1,0,"2020-09-03","Constitution (Article 84, point 12)","privacy concerns"
"Bulgaria","Mar-Jun",0.488,0.2,0.1998848,3,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Bulgaria","Jul-Sep",0.488,0.1,0.0999424,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Burkina Faso","Mar-Sep",0.273,0.15,0.0992355,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,"2020-03-27",NA,NA,0,0,2,NA,NA,0,NA,NA,2,1,"2020-09-15","Public Health Code (1996), article 66 (1)",NA
